name_en,name_my
lanang,လနိုင်
bawk,ဘောက်
ding,ဒင်
ra,ရ
d,ဒီ
khamda,ခမ်ဒ
brang,ဘရန်
shaung,ဆောင်း
yau,ယု
tung,တန်
pansa,ပန်ဆာ
ram,ရမ်
sar,ဆာ
ebrahim,ဧဗရာဟမ်
noor,နော်
alam,အလမ်
mohamed,မိုဟာမက်
hussein,ဟူစိန်
fazul,ဖာဇူး
ahmed,အေမက်
nurul,နုရယ်
haq,ဟက်
rafee,ရာဖီ
faiz,ဖိတ်ဇ်
khapo,ခပို
kailon,ကိုင်လွန်
dwe,ဒွယ်
pawt,ပွက်
law,လော်
g,ဂျီ
hlan,လှန်
raw,ရော်
bon,ဘွန်
khaw,ခေါ်
sawng,စောင်
mok,မုခ်
myaw,မော်
khawng,ခွမ်း
gau,ဂု
dawng,ဒွန်
zawng,ေဇာင်
bau,ဘု
gyone,ဂျောင်
hawng,ဟွမ်
